Cenario 6;Cenario 6;Cenario 6;Cenario 6;Cenario 6
53758.741964309345;53517.047222481306;53477.26944240975;55305.48489443337;50754.3449891524
56688.80942549232;56486.04425658295;52658.493974479956;57611.39138322636;57679.253416721636
52165.238847300025;51421.20926944888;52909.600258352824;52753.179572717854;52178.04764665182
49954.952282523234;52212.64488512492;49203.09484122599;52111.477270475516;53366.83370713046
57344.64070287019;56726.42731516653;54612.880849067114;54441.2865362068;53255.38868652253
55579.63872537938;53743.952667709964;54397.42092941214;56511.74752078605;56740.51047591389
49599.01579114082;50844.350890581496;50018.50047636637;51420.59099887536;51322.7076565433
49936.43933044525;48850.082698159975;49345.62046607205;47803.708332038856;51530.36889606777
49167.61892973978;50125.95457189697;52222.02649834346;51968.94437729962;51880.16622259813
51553.42100640245;49603.5300877729;52627.77290064468;52595.47377107244;50434.37107050514
49084.618562808246;48574.512018297784;47457.777659268984;47851.401427713026;48341.48003135632
52393.23022303838;50879.19506187203;49528.64362150099;49751.758525366924;52184.16535132744
