Cenario 6;Cenario 6;Cenario 6;Cenario 6;Cenario 6
50320.403782849644;48547.78951032207;47823.10936188079;48969.91586107318;51967.902713156516
54547.161117061805;53809.28723128221;52833.77552774075;51604.98999310439;53930.29987709724
51509.46327252963;53872.67201637153;53948.378826913606;54629.119185575764;53490.04832423033
53923.841814200496;51712.671477561154;56221.10871242444;53964.541748595504;53607.27946806835
57350.37465555812;52729.62592060692;56438.67868994323;52861.11387838661;53658.24327548651
53650.892902850515;51891.92249330104;53119.075974289866;51565.25897487899;53785.902334533
50379.86796379141;52221.9632055723;53807.36375827111;51369.4403083683;54969.9821540639
54478.26033908989;53478.943526544295;52467.13917559572;53040.76156570119;53297.0612469605
52264.13296014462;54148.3918620086;50931.99766764339;50830.3274562576;52178.645457886654
52533.66571434283;50691.9754960612;52922.8964261478;52174.37103627967;53035.19598419077
51554.74650173816;54092.02623870132;52123.63929497825;50768.84576837435;54031.93861468144
55102.36529946195;52521.85257840407;53174.26654142387;51568.99546110904;54787.22253597253
