Cenario 1;Cenario 2;Cenario 3;Cenario 4;Cenario 5;Cenario 6
61345.74830979889;63087.514831736975;57068.800091878395;45418.96601297004;43997.649100573966;49256.7878683851
55614.46087579229;59040.68154589481;57980.72597649579;59134.99385106362;51997.58917364502;53580.33952491232
42595.20998347183;53824.746295879166;61046.906153143536;53037.34113043295;55769.706812556404;47438.820337881785
42958.6394045973;56438.22739571447;43032.52641020907;60052.161654921074;48532.291468113224;57204.957250221014
56804.88125223172;61240.205672457836;54590.57972132343;56956.68875236707;46275.77352547592;55788.619983943805
56213.45460532183;63248.91100944388;42718.05853410582;56099.577530088995;62196.86043190046;51891.0622721807
48258.53779712685;55860.86836029498;46313.58664693367;45058.69795043381;47238.684292064354;61115.823929355174
56466.911392391776;50146.91181832643;41788.352131254;53942.36076698169;46880.27145944633;47734.65609894047
43971.656745862194;62372.17583439323;50616.6716589752;45555.1174322667;56675.287649960854;47246.74339839534
62390.858893834404;51344.14455804909;53401.01224486219;44987.99728925282;45069.089856374885;50984.37976130378
52838.556302852776;44582.5222981823;47314.15389217034;42448.76378322776;46164.351156079545;56223.400206820515
51778.18035437475;48774.464805032214;50078.31860706653;49881.45302065787;43259.46377350007;61912.510779095486
