Cenario 1;Cenario 2;Cenario 3;Cenario 4;Cenario 5;Cenario 6
55557.34872200321;62169.71572226759;42258.82686296491;49769.230247125495;49781.217217750724;54901.603096434425
53117.998106765015;44954.568794778395;61035.37139181317;54571.7808277209;58207.03734895865;56949.683475535014
41188.37686951869;46992.429158041276;42024.95484574131;48701.94211195949;58054.11519655587;54402.048658928565
61011.0202056154;43555.71271967873;50866.192817721654;62749.15768175085;42493.83583438398;50844.499663314855
47263.58214046012;55360.161809933124;61324.94442545007;61531.1215046066;55718.358342944666;53995.30364429297
53293.57020368743;62783.2902043636;45667.24823805594;63203.500953952156;59664.11847204318;45497.89360598338
57860.5944108163;61182.933892327805;61191.038185497615;51462.53867959097;54184.84422200827;52531.862321422785
46551.58078100949;61195.11719053726;49116.17273454366;55819.90052138212;43960.50946882286;45738.996405631806
60386.70691788099;45939.45123687227;60775.390372295886;58837.133660834326;47147.139800297344;49148.87633267626
49931.663888039904;48972.72076534207;45792.79561883536;48812.85329805674;41791.42623946754;48885.87640706906
58740.615149084595;50642.62756736648;47840.912983198476;49745.979885282926;47163.65768703972;48400.908246550534
45036.83168728797;55748.72576551691;53078.26873555372;59175.404400513544;50327.935490083;42246.36904611201
