Cenario 1;Cenario 2;Cenario 3;Cenario 4;Cenario 5;Cenario 6
48073.873622385494;44369.48612695859;51760.22192148558;59130.437464064606;41955.246902903964;51865.67943734035
57027.924378077056;59284.20518905106;57070.53222834434;44883.6093379063;51300.568669148335;50503.776693016545
63110.00951163842;49045.95124662945;44308.88565531939;60244.33677641016;51310.62890554835;52919.80585519925
47611.054755181176;61795.27592803664;49576.12613501687;47390.02871582292;63199.284001818705;53743.56232914365
53799.38291823065;53415.3008911983;59155.888946673345;58295.63308680778;59109.07197119596;43870.36588987161
51229.86236381057;54032.58628967707;60849.26317512948;50856.70486112711;52569.46741310742;47277.779112972436
43552.21477631606;44517.169000881295;60942.37978440719;60294.87167680039;48110.53225165025;57881.17337802524
47157.45436112529;62314.74062093786;50635.226151401665;49173.55047495056;59330.21240012227;51503.41501613223
53448.41957645074;60007.659974776165;55457.931591757944;51223.90500771619;47468.30003855779;44817.978295470195
56297.42990343992;46176.343565064584;53604.572006311544;56478.02681994636;43945.41785074789;57127.93544291643
53997.22659814439;49458.82252463996;42555.74658027283;60198.492629687345;49584.279974309364;59290.867395114285
48530.1455080959;43519.201317805724;57400.50377122084;59676.96298595136;50648.303328866416;60810.525987705485
