Cenario 1;Cenario 2;Cenario 3
55906.36888601443;51222.10263985336;48055.97769660633
55907.63934921559;51223.37310305452;48057.24815980749
55908.1454532693;51223.87920710822;48057.75426386119
55907.88500316415;51223.618757003074;48057.49381375604
55908.45267495107;51224.18642879;48058.061485542974
55905.25647958208;51220.99023342101;48054.86529017397
55903.549957698786;51219.28371153771;48053.15876829068
55904.84372162037;51220.5774754593;48054.452532212264
55903.89082507236;51219.62457891129;48053.49963566426
55904.76002638707;51220.493780225996;48054.36883697896
55905.416021233235;51221.14977507216;48055.024831825125
