Cenario 1;Cenario 2;Cenario 3
50938.22775963046;53979.79356433574;53285.39028391724
50936.8774200912;53978.44322479648;53284.039944377975
50934.52657449039;53976.092379195674;53281.689098777155
50939.63342246801;53981.199227173296;53286.795946754784
50937.01003214544;53978.575836850716;53284.17255643221
50937.71041647144;53979.276221176726;53284.872940758214
50936.389217860014;53977.95502256531;53283.55174214679
50935.618324079835;53977.18412878511;53282.78084836661
50936.99775396158;53978.563558666865;53284.16027824835
50935.51170014748;53977.07750485277;53282.67422443425
50939.317075320076;53980.882880025354;53286.47959960684
