Cenario 1;Cenario 2;Cenario 3
43650.7524349428;41365.05944312787;49744.16488025185
54150.836034229396;60817.62750423229;43291.06335322703
41208.132533889344;50100.82567560024;49020.835825471724
55919.67108741184;45225.01510634963;47606.41805477645
50691.968371573996;49850.72108912519;57674.77774170069
53553.147495580466;55214.35678590706;45776.401353498164
46520.86795069452;53377.42472257837;52178.65084941847
49134.93913674441;55331.09741851576;54282.80748791306
54137.213961743444;63714.056893393434;62050.28991889491
51822.07191859587;59921.362617091276;49547.36203215154
46115.5714761581;57604.221997161825;57842.11318394893
