Data_Ini;Duracao;p;q;Porcentagem_Portifolio
4;3;107.55238439047666;513.3020394959922;0.11618051273315376
4;6;102.89558923020654;540.5790076346111;0.15532945805463294
8;1;103.61426146228311;532.2028044777534;0.06039430823021811
4;3;106.69988612915196;543.7397737741501;0.029489225401578986
2;1;103.57360977543782;544.230783144099;0.005903731777905489
10;1;108.8556867222613;549.8491880443661;0.11337307392125662
8;2;100.48486365052545;510.35985064944646;0.11601723073455356
7;2;107.546989001392;539.7295311188174;0.18288368473614888
10;1;107.0147968715968;518.0052123887117;0.02287950980842503
10;1;109.03143336948663;531.3757505696253;0.1975492646021268
